T_model,func_rho,func_cp,func_k
-2.594594594594594383e+01,1.068554928597483240e+03,3.042688179615046465e+03,1.075073016049754360e+00
-2.588088088088088057e+01,1.068566711462963667e+03,3.048230146397082535e+03,1.074975109388587757e+00
-2.581581581581581730e+01,1.068578607509173253e+03,3.053814069162313899e+03,1.074875472959671896e+00
-2.575075075075075048e+01,1.068590617601910481e+03,3.059440372490937079e+03,1.074774096452735250e+00
-2.568568568568568367e+01,1.068602742615822990e+03,3.065109486347521397e+03,1.074670969442766522e+00
-2.562062062062062040e+01,1.068614983434515580e+03,3.070821846163168175e+03,1.074566081388610428e+00
-2.555555555555555713e+01,1.068627340950667531e+03,3.076577892919112401e+03,1.074459421631526634e+00
-2.549049049049049032e+01,1.068639816066148569e+03,3.082378073231835970e+03,1.074350979393742911e+00
-2.542542542542542350e+01,1.068652409692138917e+03,3.088222839439708878e+03,1.074240743776975870e+00
-2.536036036036036023e+01,1.068665122749248667e+03,3.094112649691173829e+03,1.074128703760939052e+00
-2.529529529529529341e+01,1.068677956167639195e+03,3.100047968034539281e+03,1.074014848201816363e+00
-2.523023023023022660e+01,1.068690910887149812e+03,3.106029264509376844e+03,1.073899165830729086e+00
-2.516516516516516333e+01,1.068703987857421453e+03,3.112057015239593966e+03,1.073781645252164907e+00
-2.510010010010010006e+01,1.068717188038027189e+03,3.118131702528183723e+03,1.073662274942393413e+00
-2.503503503503503325e+01,1.068730512398598876e+03,3.124253814953702204e+03,1.073541043247852045e+00
-2.496996996996996643e+01,1.068743961918963350e+03,3.130423847468516215e+03,1.073417938383512737e+00
-2.490490490490490316e+01,1.068757537589275216e+03,3.136642301498837242e+03,1.073292948431218807e+00
-2.483983983983983990e+01,1.068771240410152132e+03,3.142909685046612594e+03,1.073166061338003852e+00
-2.477477477477477308e+01,1.068785071392813734e+03,3.149226512793262373e+03,1.073037264914373345e+00
-2.470970970970970626e+01,1.068799031559225114e+03,3.155593306205357749e+03,1.072906546832576247e+00
-2.464464464464464299e+01,1.068813121942235512e+03,3.162010593642244658e+03,1.072773894624835744e+00
-2.457957957957957973e+01,1.068827343585728386e+03,3.168478910465661102e+03,1.072639295681563132e+00
-2.451451451451451291e+01,1.068841697544763747e+03,3.174998799151398543e+03,1.072502737249535709e+00
-2.444944944944944609e+01,1.068856184885734137e+03,3.181570809403041494e+03,1.072364206430056477e+00
-2.438438438438438283e+01,1.068870806686512424e+03,3.188195498267844414e+03,1.072223690177077415e+00
-2.431931931931931956e+01,1.068885564036609139e+03,3.194873430254770028e+03,1.072081175295301447e+00
-2.425425425425425274e+01,1.068900458037328008e+03,3.201605177454748627e+03,1.071936648438242656e+00
-2.418918918918918592e+01,1.068915489801930107e+03,3.208391319663214745e+03,1.071790096106275403e+00
-2.412412412412412266e+01,1.068930660455790076e+03,3.215232444504953946e+03,1.071641504644634590e+00
-2.405905905905905939e+01,1.068945971136568460e+03,3.222129147561307036e+03,1.071490860241395282e+00
-2.399399399399399258e+01,1.068961422994374971e+03,3.229082032499814432e+03,1.071338148925422118e+00
-2.392892892892892931e+01,1.068977017191939467e+03,3.236091711206301170e+03,1.071183356564276323e+00
-2.386386386386386249e+01,1.068992754904788853e+03,3.243158803919521233e+03,1.071026468862104286e+00
-2.379879879879879923e+01,1.069008637321420338e+03,3.250283939368350730e+03,1.070867471357478395e+00
-2.373373373373373241e+01,1.069024665643482422e+03,3.257467754911640895e+03,1.070706349421219450e+00
-2.366866866866866914e+01,1.069040841085956799e+03,3.264710896680743645e+03,1.070543088254168662e+00
-2.360360360360360232e+01,1.069057164877344121e+03,3.272014019724819264e+03,1.070377672884937015e+00
-2.353853853853853906e+01,1.069073638259851350e+03,3.279377788158928979e+03,1.070210088167613538e+00
-2.347347347347347224e+01,1.069090262489586848e+03,3.286802875315030178e+03,1.070040318779436950e+00
-2.340840840840840897e+01,1.069107038836750007e+03,3.294289963895893834e+03,1.069868349218432435e+00
-2.334334334334334216e+01,1.069123968585834518e+03,3.301839746132051005e+03,1.069694163801007791e+00
-2.327827827827827534e+01,1.069141053035828008e+03,3.309452923941789322e+03,1.069517746659516932e+00
-2.321321321321321207e+01,1.069158293500415311e+03,3.317130209094309976e+03,1.069339081739776987e+00
-2.314814814814814525e+01,1.069175691308190380e+03,3.324872323376101122e+03,1.069158152798548311e+00
-2.308308308308308199e+01,1.069193247802865244e+03,3.332679998760583203e+03,1.068974943400977207e+00
-2.301801801801801517e+01,1.069210964343488286e+03,3.340553977581129857e+03,1.068789436917992886e+00
-2.295295295295295190e+01,1.069228842304661157e+03,3.348495012707521255e+03,1.068601616523665365e+00
-2.288788788788788509e+01,1.069246883076764334e+03,3.356503867725920372e+03,1.068411465192518062e+00
-2.282282282282282182e+01,1.069265088066182670e+03,3.364581317122428118e+03,1.068218965696796197e+00
-2.275775775775775500e+01,1.069283458695536410e+03,3.372728146470341471e+03,1.068024100603697013e+00
-2.269269269269269174e+01,1.069301996403916519e+03,3.380945152621156012e+03,1.067826852272542926e+00
-2.262762762762762492e+01,1.069320702647124335e+03,3.389233143899431070e+03,1.067627202851922474e+00
-2.256256256256256165e+01,1.069339578897914180e+03,3.397592940301581621e+03,1.067425134276769771e+00
-2.249749749749749483e+01,1.069358626646239600e+03,3.406025373698718340e+03,1.067220628265408200e+00
-2.243243243243243157e+01,1.069377847399508482e+03,3.414531288043587210e+03,1.067013666316538600e+00
-2.236736736736736475e+01,1.069397242682835440e+03,3.423111539581761917e+03,1.066804229706178164e+00
-2.230230230230230148e+01,1.069416814039306473e+03,3.431766997067119519e+03,1.066592299484548922e+00
-2.223723723723723467e+01,1.069436563030240222e+03,3.440498541981761264e+03,1.066377856472914498e+00
-2.217217217217217140e+01,1.069456491235462636e+03,3.449307068760448146e+03,1.066160881260368232e+00
-2.210710710710710458e+01,1.069476600253579136e+03,3.458193485019670334e+03,1.065941354200555580e+00
-2.204204204204204132e+01,1.069496891702254288e+03,3.467158711791448695e+03,1.065719255408357657e+00
-2.197697697697697450e+01,1.069517367218498293e+03,3.476203683762008495e+03,1.065494564756503726e+00
-2.191191191191191123e+01,1.069538028458955523e+03,3.485329349515388458e+03,1.065267261872137050e+00
-2.184684684684684441e+01,1.069558877100202835e+03,3.494536671782174380e+03,1.065037326133319695e+00
-2.178178178178178115e+01,1.069579914839044704e+03,3.503826627693408682e+03,1.064804736665472928e+00
-2.171671671671671433e+01,1.069601143392824952e+03,3.513200209039859601e+03,1.064569472337765665e+00
-2.165165165165165106e+01,1.069622564499735063e+03,3.522658422536726903e+03,1.064331511759431637e+00
